"Désignation éprouvette"	"S25D2"
"Temps"	"Force standard"	"Course standard"
"s"	"N"	"mm"
21,0946	18,174	0,0937584
21,1946	18,2422	0,0942662
21,2946	18,275	0,0947602
21,3946	18,3571	0,0952709
21,4946	18,4235	0,0957733
21,5946	18,4826	0,0962587
21,6946	18,5596	0,0967636
21,7946	18,6388	0,0972548
21,8946	18,6946	0,09776
21,9946	18,7429	0,0982736
22,0946	18,809	0,0987647
22,1946	18,89	0,0992668
22,2946	18,9431	0,0997608
22,3946	19,0165	0,10026
22,4946	19,0788	0,100774
22,5946	19,1445	0,101265
22,6946	19,1998	0,10177
22,7946	19,2691	0,102264
22,8946	19,3151	0,102763
22,9946	19,3909	0,103277
23,0946	19,4436	0,103765
23,1946	19,5069	0,104268
23,2946	19,5709	0,104767
23,3946	19,6386	0,105261
23,4946	19,715	0,105777
23,5946	19,7905	0,106268
23,6946	19,8567	0,106768
23,7946	19,9115	0,107273
23,8946	19,9915	0,107764
23,9946	20,057	0,108278
24,0946	20,1104	0,108763
24,1946	20,2001	0,109268
24,2946	20,2826	0,109773
24,3946	20,3447	0,110262
24,4946	20,425	0,110775
24,5946	20,4751	0,111269
24,6946	20,5491	0,111766
24,7946	20,6297	0,112268
24,8946	20,6985	0,112762
24,9946	20,7616	0,113275
25,0946	20,8513	0,113769
25,1946	20,8929	0,114263
25,2946	20,9501	0,114771
25,3946	21,0227	0,115262
25,4946	21,0939	0,115773
25,5946	21,1665	0,116267
25,6946	21,2075	0,116758
25,7946	21,2719	0,117269
25,8946	21,3196	0,11776
25,9946	21,4168	0,118271
26,0946	21,484	0,118773
26,1946	21,5487	0,119258
26,2946	21,6281	0,119764
26,3946	21,7073	0,120257
26,4946	21,761	0,12076
26,5946	21,8503	0,12127
26,6946	21,9353	0,121762
26,7946	22,0088	0,122269
26,8946	22,0833	0,12276
26,9946	22,1499	0,123263
27,0946	22,2308	0,123774
27,1946	22,2897	0,124262
27,2946	22,358	0,12477
27,3946	22,4249	0,125264
27,4946	22,4919	0,125763
27,5946	22,5565	0,126277
27,6946	22,6291	0,126765
27,7946	22,7083	0,12727
27,8946	22,7672	0,127767
27,9946	22,8305	0,128263
28,0946	22,9137	0,128783
28,1946	22,9824	0,129271
28,2946	23,0331	0,12977
28,3946	23,1118	0,13027
28,4946	23,171	0,130761
28,5946	23,2256	0,131275
28,6946	23,2927	0,131766
28,7946	23,3789	0,132268
28,8946	23,4258	0,13277
28,9946	23,4959	0,133261
29,0946	23,5587	0,133778
29,1946	23,6534	0,134266
29,2946	23,7066	0,134763
29,3946	23,789	0,135268
29,4946	23,8622	0,135762
29,5946	23,9155	0,136275
29,6946	23,9842	0,136766
29,7946	24,0713	0,137266
29,8946	24,1356	0,137771
29,9946	24,1932	0,138262
30,0946	24,2889	0,138773
30,1946	24,3536	0,13927
30,2946	24,4059	0,139758
30,3946	24,496	0,140266
30,4946	24,5541	0,14076
30,5946	24,6364	0,141268
30,6946	24,713	0,141773
30,7946	24,7644	0,142258
30,8946	24,8296	0,142766
30,9946	24,8833	0,143254
31,0946	24,9498	0,143759
31,1946	25,0121	0,144267
31,2946	25,078	0,144761
31,3946	25,1327	0,145266
31,4946	25,2051	0,14576
31,5946	25,2538	0,146263
31,6946	25,3229	0,146773
31,7946	25,3909	0,147264
31,8946	25,4325	0,147769
31,9946	25,5241	0,148263
32,0946	25,5857	0,14876
32,1946	25,6656	0,149274
32,2946	25,7199	0,149765
32,3946	25,8133	0,150267
32,4946	25,8854	0,150764
32,5946	25,975	0,15126
32,6946	26,0608	0,151777
32,7946	26,1401	0,152268
32,8946	26,2083	0,15277
32,9946	26,3105	0,15327
33,0946	26,3621	0,153763
33,1946	26,4368	0,154274
33,2946	26,5121	0,154765
33,3946	26,5894	0,155268
33,4946	26,6312	0,155773
33,5946	26,7167	0,156261
33,6946	26,7987	0,156777
33,7946	26,8655	0,157266
33,8946	26,9217	0,157762
33,9946	27,0008	0,158267
34,0946	27,034	0,158761
34,1946	27,1169	0,159275
34,2946	27,1753	0,159772
34,3946	27,2632	0,160263
34,4946	27,3233	0,160771
34,5946	27,383	0,161256
34,6946	27,4541	0,16177
34,7946	27,5188	0,162272
34,8946	27,5995	0,16276
34,9946	27,6548	0,163268
35,0946	27,7377	0,163757
35,1946	27,8243	0,16427
35,2946	27,881	0,164772
35,3946	27,9686	0,165258
35,4946	28,0585	0,165763
35,5946	28,1012	0,166251
35,6946	28,1677	0,166762
35,7946	28,2541	0,167273
35,8946	28,3276	0,167761
35,9946	28,4097	0,168266
36,0946	28,5167	0,168757
36,1946	28,567	0,169265
36,2946	28,6434	0,169773
36,3946	28,7053	0,170264
36,4946	28,7829	0,170769
36,5946	28,8359	0,17126
36,6946	28,9196	0,17176
36,7946	28,9949	0,172276
36,8946	29,0494	0,172764
36,9946	29,1116	0,173269
37,0946	29,1936	0,173766
37,1946	29,2405	0,174263
37,2946	29,3102	0,174777
37,3946	29,3822	0,175265
37,4946	29,4683	0,17577
37,5946	29,526	0,176269
37,6946	29,603	0,176763
37,7946	29,6648	0,177277
37,8946	29,7518	0,177765
37,9946	29,8265	0,178267
38,0946	29,8977	0,17877
38,1946	29,9787	0,179258
38,2946	30,0712	0,179777
38,3946	30,1521	0,180271
38,4946	30,2419	0,180765
38,5946	30,3213	0,181267
38,6946	30,394	0,181761
38,7946	30,4593	0,182275
38,8946	30,5376	0,182769
38,9946	30,6226	0,183265
39,0946	30,6837	0,183768
39,1946	30,7312	0,184262
39,2946	30,8039	0,184769
39,3946	30,8602	0,185266
39,4946	30,9416	0,18576
39,5946	30,993	0,186268
39,6946	31,056	0,186762
39,7946	31,1184	0,187267
39,8946	31,2095	0,187769
39,9946	31,2625	0,188258
40,0946	31,3377	0,188763
40,1946	31,3918	0,189254
40,2946	31,4712	0,189762
40,3946	31,5577	0,19027
40,4946	31,6279	0,190761
40,5946	31,6876	0,191269
40,6946	31,7933	0,191757
40,7946	31,8487	0,192265
40,8946	31,9337	0,192773
40,9946	32,0015	0,193261
41,0946	32,0731	0,193769
41,1946	32,1408	0,194263
41,2946	32,2034	0,194762
41,3946	32,3011	0,195276
41,4946	32,3654	0,195764
41,5946	32,4449	0,196269
41,6946	32,528	0,196766
41,7946	32,6031	0,197263
41,8946	32,6983	0,197776
41,9946	32,7599	0,19827
42,0946	32,8306	0,19877
42,1946	32,8938	0,199269
42,2946	32,9715	0,199763
42,3946	33,0374	0,200274
42,4946	33,0957	0,200765
42,5946	33,1516	0,201267
42,6946	33,2378	0,201769
42,7946	33,289	0,202261
42,8946	33,3605	0,202777
42,9946	33,4231	0,203265
43,0946	33,4766	0,203768
43,1946	33,5482	0,204267
43,2946	33,619	0,204761
43,3946	33,7069	0,205274
43,4946	33,7964	0,205771
43,5946	33,847	0,206265
43,6946	33,9436	0,206767
43,7946	34,0418	0,207259
43,8946	34,1265	0,207772
43,9946	34,2056	0,208266
44,0946	34,2765	0,208762
44,1946	34,3492	0,209268
44,2946	34,425	0,209762
44,3946	34,5037	0,21027
44,4946	34,5752	0,210769
44,5946	34,6604	0,211254
44,6946	34,7278	0,211765
44,7946	34,7871	0,212251
44,8946	34,8941	0,212761
44,9946	34,9515	0,213272
45,0946	35,0186	0,213758
45,1946	35,0858	0,214266
45,2946	35,1537	0,214759
45,3946	35,2173	0,215265
45,4946	35,295	0,215772
45,5946	35,3831	0,216261
45,6946	35,4276	0,216769
45,7946	35,5037	0,217263
45,8946	35,5764	0,217762
45,9946	35,6643	0,218273
46,0946	35,7537	0,218764
46,1946	35,8259	0,219269
46,2946	35,8749	0,219766
46,3946	35,9561	0,220262
46,4946	36,0599	0,220776
46,5946	36,0939	0,221267
46,6946	36,1914	0,221769
46,7946	36,2961	0,222269
46,8946	36,3558	0,222763
46,9946	36,454	0,223276
47,0946	36,5176	0,223759
47,1946	36,6032	0,224267
47,2946	36,6541	0,224769
47,3946	36,7324	0,22526
47,4946	36,8135	0,225777
47,5946	36,8917	0,226268
47,6946	36,946	0,226767
47,7946	37,037	0,227269
47,8946	37,0855	0,227763
47,9946	37,15	0,228274
48,0946	37,2323	0,228765
48,1946	37,2874	0,229262
48,2946	37,3524	0,229767
48,3946	37,4286	0,230261
48,4946	37,4844	0,230774
48,5946	37,5709	0,231271
48,6946	37,6403	0,231759
48,7946	37,7173	0,232267
48,8946	37,8021	0,232759
48,9946	37,8948	0,233272
49,0946	37,9998	0,233772
49,1946	38,077	0,23426
49,2946	38,1552	0,234765
49,3946	38,2401	0,235251
49,4946	38,3272	0,235761
49,5946	38,4081	0,236269
49,6946	38,457	0,236763
49,7946	38,5356	0,237265
49,8946	38,6132	0,237756
49,9946	38,6919	0,238264
50,0946	38,7762	0,238772
50,1946	38,8418	0,239263
50,2946	38,9063	0,239771
50,3946	38,9767	0,240262
50,4946	39,0549	0,240765
50,5946	39,0979	0,241275
50,6946	39,1839	0,241764
50,7946	39,2491	0,242271
50,8946	39,334	0,242766
50,9946	39,395	0,243262
51,0946	39,4713	0,243776
51,1946	39,5727	0,244267
51,2946	39,634	0,244772
51,3946	39,7187	0,245272
51,4946	39,7907	0,245762
51,5946	39,8595	0,246273
51,6946	39,9678	0,246762
